idioma_secreto,espanol
vivi gore vivi kote mivi giki zova,la maestra no lleva la médica verde
vivi dira ribi tore mibe,la gata cuida el jardinero
vivi gore ribi vife kita nole zova,la maestra no encuentra el músico joven
ribi rori vivi vife mivi mibe zova,el niño no cuida la médica joven
vivi gore vivi bene taki nibe,la maestra busca la niña azul
vivi taki vivi kote mivi giki zova,la niña no lleva la médica verde
ribi tore vivi vife mivi giki zova,el jardinero no lleva la médica joven
vivi dira vivi kote taki tole,la gata mira la niña verde
vivi taki vivi kote dira liba zova,la niña no lee la gata verde
ribi zoli ribi kote kita liba,el perro lee el músico verde
ribi zoli ribi bene tore nole,el perro encuentra el jardinero azul
vivi dira ribi sivi zoli liba zova,la gata no lee el perro grande
vivi gore ribi kote rori nibe,la maestra busca el niño verde
ribi rori vivi toge taki nibe,el niño busca la niña feliz
ribi tore vivi sivi mivi mibe,el jardinero cuida la médica grande
ribi tore ribi kote rori mibe,el jardinero cuida el niño verde
ribi zoli ribi kote tore mibe zova,el perro no cuida el jardinero verde
vivi dira ribi bene tore liba,la gata lee el jardinero azul
vivi dira ribi bene rori nole zova,la gata no encuentra el niño azul
vivi gore ribi bene kita giki zova,la maestra no lleva el músico azul
vivi dira ribi rori mibe,la gata cuida el niño
vivi taki ribi rori mibe,la niña cuida el niño
vivi dira ribi bene rori mibe,la gata cuida el niño azul
vivi taki ribi sivi zoli nibe,la niña busca el perro grande
vivi gore ribi bene zoli giki,la maestra lleva el perro azul
vivi dira vivi kote taki nole zova,la gata no encuentra la niña verde
vivi mivi ribi bene zoli giki,la médica lleva el perro azul
vivi mivi ribi kote kita liba zova,la médica no lee el músico verde
ribi rori vivi sivi dira nole,el niño encuentra la gata grande
ribi zoli vivi kote dira mibe,el perro cuida la gata verde
ribi tore vivi kote dira nole zova,el jardinero no encuentra la gata verde
ribi kita ribi toge rori giki zova,el músico no lleva el niño feliz
ribi tore vivi bene gore nole zova,el jardinero no encuentra la maestra azul
vivi taki ribi bene rori nole zova,la niña no encuentra el niño azul
vivi gore ribi sivi kita mibe zova,la maestra no cuida el músico grande
vivi mivi vivi bene taki nibe zova,la médica no busca la niña azul
ribi tore vivi kote gore nibe,el jardinero busca la maestra verde
vivi dira ribi bene kita giki,la gata lleva el músico azul
vivi gore ribi toge tore nole,la maestra encuentra el jardinero feliz
ribi rori vivi bene gore giki zova,el niño no lleva la maestra azul
vivi gore ribi zoli liba,la maestra lee el perro
ribi tore ribi toge rori tole,el jardinero mira el niño feliz
ribi zoli vivi gore tole zova,el perro no mira la maestra
ribi zoli vivi sivi mivi tole zova,el perro no mira la médica grande
ribi tore vivi sivi taki nibe zova,el jardinero no busca la niña grande
vivi dira vivi toge mivi mibe,la gata cuida la médica feliz
ribi kita ribi toge zoli tole zova,el músico no mira el perro feliz
vivi dira ribi bene zoli tole zova,la gata no mira el perro azul
ribi rori ribi toge zoli mibe,el niño cuida el perro feliz
vivi dira vivi sivi mivi giki zova,la gata no lleva la médica grande
ribi kita vivi vife gore mibe,el músico cuida la maestra joven
ribi tore vivi toge taki nole zova,el jardinero no encuentra la niña feliz
vivi gore ribi vife zoli mibe,la maestra cuida el perro joven
ribi zoli vivi vife taki nole zova,el perro no encuentra la niña joven
vivi gore vivi vife taki nibe,la maestra busca la niña joven
vivi gore vivi kote taki nole,la maestra encuentra la niña verde
ribi kita vivi bene taki giki zova,el músico no lleva la niña azul
ribi rori ribi vife zoli nole zova,el niño no encuentra el perro joven
ribi kita ribi sivi tore mibe zova,el músico no cuida el jardinero grande
ribi zoli ribi vife kita liba zova,el perro no lee el músico joven
vivi dira vivi kote mivi nibe,la gata busca la médica verde
ribi zoli ribi kote kita nole zova,el perro no encuentra el músico verde
vivi taki ribi zoli nole,la niña encuentra el perro
ribi rori ribi kita tole zova,el niño no mira el músico
vivi gore vivi kote taki giki,la maestra lleva la niña verde
vivi dira vivi toge taki nibe,la gata busca la niña feliz
ribi rori ribi bene tore mibe zova,el niño no cuida el jardinero azul
ribi kita vivi sivi dira mibe,el músico cuida la gata grande
ribi tore vivi toge mivi nibe,el jardinero busca la médica feliz
vivi taki vivi bene gore nibe,la niña busca la maestra azul
ribi zoli vivi toge mivi mibe,el perro cuida la médica feliz
ribi kita ribi rori tole,el músico mira el niño
ribi kita ribi sivi tore mibe,el músico cuida el jardinero grande
vivi mivi ribi kote kita giki,la médica lleva el músico verde
ribi zoli ribi kote tore mibe,el perro cuida el jardinero verde
vivi taki ribi toge kita nole,la niña encuentra el músico feliz
ribi rori vivi vife mivi tole zova,el niño no mira la médica joven
ribi zoli ribi vife kita nole zova,el perro no encuentra el músico joven
ribi kita ribi bene tore liba,el músico lee el jardinero azul
ribi zoli vivi bene dira tole zova,el perro no mira la gata azul
ribi zoli vivi bene gore liba,el perro lee la maestra azul
vivi mivi vivi toge gore tole,la médica mira la maestra feliz
ribi kita vivi sivi mivi liba,el músico lee la médica grande
ribi kita ribi toge rori giki,el músico lleva el niño feliz
vivi dira ribi vife rori mibe,la gata cuida el niño joven
ribi zoli ribi toge kita liba zova,el perro no lee el músico feliz
vivi dira vivi vife mivi tole,la gata mira la médica joven
ribi tore vivi kote mivi nole zova,el jardinero no encuentra la médica verde
ribi kita vivi sivi mivi nibe,el músico busca la médica grande
vivi taki vivi vife gore liba zova,la niña no lee la maestra joven
vivi taki ribi vife rori liba zova,la niña no lee el niño joven
vivi gore ribi kote rori giki,la maestra lleva el niño verde
ribi zoli vivi kote mivi giki,el perro lleva la médica verde
ribi tore ribi kote kita tole,el jardinero mira el músico verde
vivi taki vivi gore nibe zova,la niña no busca la maestra
vivi mivi vivi sivi taki giki,la médica lleva la niña grande
vivi mivi ribi rori liba zova,la médica no lee el niño
ribi zoli vivi bene gore mibe zova,el perro no cuida la maestra azul
vivi dira ribi toge kita liba zova,la gata no lee el músico feliz
ribi kita vivi bene taki nibe zova,el músico no busca la niña azul
ribi rori vivi sivi gore tole zova,el niño no mira la maestra grande
ribi rori ribi sivi zoli nibe,el niño busca el perro grande
ribi zoli vivi bene gore giki,el perro lleva la maestra azul
ribi tore ribi toge zoli nibe zova,el jardinero no busca el perro feliz
ribi kita vivi vife mivi liba,el músico lee la médica joven
ribi rori vivi bene taki nole,el niño encuentra la niña azul
ribi tore vivi bene dira mibe,el jardinero cuida la gata azul
vivi gore ribi kote tore tole zova,la maestra no mira el jardinero verde
ribi zoli vivi vife gore mibe zova,el perro no cuida la maestra joven
ribi zoli vivi kote taki nole zova,el perro no encuentra la niña verde
ribi tore vivi toge taki liba,el jardinero lee la niña feliz
vivi gore vivi dira nole zova,la maestra no encuentra la gata
vivi dira vivi sivi taki liba zova,la gata no lee la niña grande
ribi rori vivi bene taki mibe zova,el niño no cuida la niña azul
vivi dira vivi vife mivi mibe,la gata cuida la médica joven
ribi rori ribi bene kita giki zova,el niño no lleva el músico azul
ribi kita vivi toge gore nole zova,el músico no encuentra la maestra feliz
vivi mivi ribi bene kita giki,la médica lleva el músico azul
ribi zoli ribi toge rori nibe zova,el perro no busca el niño feliz
vivi gore vivi toge mivi nibe zova,la maestra no busca la médica feliz
vivi taki ribi vife tore giki zova,la niña no lleva el jardinero joven
ribi kita ribi toge zoli giki zova,el músico no lleva el perro feliz
vivi taki ribi rori mibe zova,la niña no cuida el niño
ribi zoli ribi toge rori nole zova,el perro no encuentra el niño feliz
vivi taki vivi bene mivi liba zova,la niña no lee la médica azul
ribi kita vivi taki nole zova,el músico no encuentra la niña
vivi taki vivi sivi dira nibe zova,la niña no busca la gata grande
vivi mivi ribi toge zoli giki zova,la médica no lleva el perro feliz
ribi zoli ribi toge kita nole zova,el perro no encuentra el músico feliz
ribi zoli vivi gore giki zova,el perro no lleva la maestra
vivi gore vivi toge mivi tole zova,la maestra no mira la médica feliz
ribi zoli vivi toge taki tole,el perro mira la niña feliz
vivi taki vivi bene dira mibe,la niña cuida la gata azul
vivi gore ribi sivi tore nole,la maestra encuentra el jardinero grande
vivi taki ribi sivi kita liba,la niña lee el músico grande
vivi mivi ribi vife tore liba zova,la médica no lee el jardinero joven
ribi kita ribi sivi rori liba zova,el músico no lee el niño grande
ribi zoli ribi tore nole,el perro encuentra el jardinero
ribi kita ribi bene zoli nole,el músico encuentra el perro azul
vivi mivi vivi vife dira liba,la médica lee la gata joven
vivi dira ribi kote rori nibe zova,la gata no busca el niño verde
ribi kita ribi vife zoli giki,el músico lleva el perro joven
ribi zoli vivi kote taki liba,el perro lee la niña verde
vivi taki ribi kote tore liba,la niña lee el jardinero verde
ribi zoli ribi bene tore giki,el perro lleva el jardinero azul
ribi zoli ribi toge rori tole,el perro mira el niño feliz
vivi dira ribi sivi tore liba,la gata lee el jardinero grande
ribi rori ribi zoli liba zova,el niño no lee el perro
ribi kita vivi sivi taki mibe zova,el músico no cuida la niña grande
vivi mivi ribi toge zoli nole,la médica encuentra el perro feliz
vivi dira vivi toge taki tole,la gata mira la niña feliz
vivi dira ribi bene kita mibe zova,la gata no cuida el músico azul
ribi rori ribi vife kita giki zova,el niño no lleva el músico joven
ribi kita vivi toge gore liba,el músico lee la maestra feliz
vivi taki vivi vife gore liba,la niña lee la maestra joven
vivi dira ribi sivi zoli nibe,la gata busca el perro grande
vivi gore ribi vife tore nibe,la maestra busca el jardinero joven
ribi rori ribi kote tore giki,el niño lleva el jardinero verde
vivi taki ribi tore nibe zova,la niña no busca el jardinero
vivi taki ribi toge tore mibe zova,la niña no cuida el jardinero feliz
vivi gore ribi vife tore liba zova,la maestra no lee el jardinero joven
ribi kita vivi vife dira nole,el músico encuentra la gata joven
vivi gore vivi kote mivi nibe zova,la maestra no busca la médica verde
ribi rori vivi vife taki tole,el niño mira la niña joven
vivi gore ribi vife rori tole,la maestra mira el niño joven
vivi gore ribi vife tore liba,la maestra lee el jardinero joven
vivi mivi vivi sivi gore nibe zova,la médica no busca la maestra grande
ribi kita vivi sivi taki nibe,el músico busca la niña grande
vivi taki vivi gore mibe,la niña cuida la maestra
vivi taki ribi toge kita tole,la niña mira el músico feliz
ribi kita ribi kote rori tole zova,el músico no mira el niño verde
ribi rori vivi vife gore liba zova,el niño no lee la maestra joven
ribi kita vivi bene dira giki,el músico lleva la gata azul
vivi taki ribi vife kita tole,la niña mira el músico joven
vivi dira vivi kote mivi liba,la gata lee la médica verde
vivi mivi vivi kote taki tole zova,la médica no mira la niña verde
ribi zoli vivi vife gore tole zova,el perro no mira la maestra joven
ribi zoli ribi toge kita tole zova,el perro no mira el músico feliz
ribi zoli vivi kote taki nole,el perro encuentra la niña verde
ribi zoli vivi bene gore nibe,el perro busca la maestra azul
ribi tore vivi kote dira nibe,el jardinero busca la gata verde
vivi gore vivi bene taki nibe zova,la maestra no busca la niña azul
ribi tore vivi toge gore tole,el jardinero mira la maestra feliz
vivi gore vivi toge mivi mibe zova,la maestra no cuida la médica feliz
vivi taki ribi vife tore mibe,la niña cuida el jardinero joven
ribi zoli ribi vife kita giki zova,el perro no lleva el músico joven
ribi kita vivi kote mivi nole zova,el músico no encuentra la médica verde
ribi rori vivi toge dira nibe,el niño busca la gata feliz
vivi mivi vivi toge dira liba,la médica lee la gata feliz
vivi taki ribi bene zoli giki zova,la niña no lleva el perro azul
vivi dira ribi kita tole zova,la gata no mira el músico
vivi taki ribi zoli mibe zova,la niña no cuida el perro
ribi tore vivi sivi gore mibe,el jardinero cuida la maestra grande
ribi zoli vivi kote gore nibe zova,el perro no busca la maestra verde
vivi gore ribi kote tore nibe,la maestra busca el jardinero verde
ribi kita vivi toge mivi nibe,el músico busca la médica feliz
vivi gore ribi sivi rori nole,la maestra encuentra el niño grande
ribi tore ribi sivi zoli tole,el jardinero mira el perro grande
vivi gore ribi sivi rori liba zova,la maestra no lee el niño grande
ribi kita ribi bene zoli nibe zova,el músico no busca el perro azul
ribi rori ribi kote zoli nole zova,el niño no encuentra el perro verde
ribi rori ribi sivi kita liba,el niño lee el músico grande
vivi gore vivi sivi taki nole zova,la maestra no encuentra la niña grande
ribi kita ribi bene rori nibe,el músico busca el niño azul
vivi taki ribi kita giki,la niña lleva el músico
ribi rori vivi kote mivi nole zova,el niño no encuentra la médica verde
ribi tore vivi taki liba zova,el jardinero no lee la niña
vivi gore ribi sivi tore mibe,la maestra cuida el jardinero grande
vivi mivi vivi toge dira nole,la médica encuentra la gata feliz
vivi dira vivi toge mivi tole zova,la gata no mira la médica feliz
ribi tore ribi toge kita tole zova,el jardinero no mira el músico feliz
ribi kita vivi toge gore giki,el músico lleva la maestra feliz
vivi mivi ribi bene zoli tole zova,la médica no mira el perro azul
ribi kita ribi sivi tore nibe zova,el músico no busca el jardinero grande
ribi tore ribi sivi kita nibe zova,el jardinero no busca el músico grande
vivi mivi vivi kote taki giki,la médica lleva la niña verde
ribi rori vivi kote mivi giki,el niño lleva la médica verde
ribi tore vivi vife dira liba,el jardinero lee la gata joven
vivi taki ribi sivi tore nole zova,la niña no encuentra el jardinero grande
vivi dira vivi toge taki nole zova,la gata no encuentra la niña feliz
vivi gore ribi bene kita nibe zova,la maestra no busca el músico azul
vivi mivi ribi kote rori liba zova,la médica no lee el niño verde
ribi zoli vivi sivi gore nibe zova,el perro no busca la maestra grande
vivi gore ribi sivi rori nibe zova,la maestra no busca el niño grande
vivi mivi vivi dira mibe,la médica cuida la gata
ribi tore vivi kote mivi liba,el jardinero lee la médica verde
vivi mivi vivi vife taki tole,la médica mira la niña joven
vivi dira vivi kote mivi mibe,la gata cuida la médica verde
vivi dira vivi toge taki liba,la gata lee la niña feliz
vivi gore ribi bene tore tole,la maestra mira el jardinero azul
vivi mivi vivi gore giki zova,la médica no lleva la maestra
vivi taki ribi vife tore tole zova,la niña no mira el jardinero joven
vivi mivi vivi toge dira mibe,la médica cuida la gata feliz
ribi zoli ribi sivi kita giki zova,el perro no lleva el músico grande
vivi taki ribi kote kita mibe,la niña cuida el músico verde
ribi tore vivi kote gore nole,el jardinero encuentra la maestra verde
ribi kita ribi zoli nole zova,el músico no encuentra el perro
vivi gore vivi dira nibe,la maestra busca la gata
ribi rori vivi mivi liba,el niño lee la médica
ribi zoli ribi bene tore nibe,el perro busca el jardinero azul
ribi rori vivi toge taki liba,el niño lee la niña feliz
ribi rori ribi kote kita tole zova,el niño no mira el músico verde
vivi taki vivi bene gore nibe zova,la niña no busca la maestra azul
vivi taki ribi zoli giki zova,la niña no lleva el perro
vivi dira ribi tore liba,la gata lee el jardinero
ribi rori vivi sivi taki mibe zova,el niño no cuida la niña grande
vivi gore vivi sivi taki giki,la maestra lleva la niña grande
vivi taki ribi toge rori nibe,la niña busca el niño feliz
ribi kita vivi bene dira mibe zova,el músico no cuida la gata azul
vivi dira ribi rori nole zova,la gata no encuentra el niño
ribi zoli vivi sivi mivi nole zova,el perro no encuentra la médica grande
vivi taki ribi bene tore nibe zova,la niña no busca el jardinero azul
vivi taki ribi rori giki,la niña lleva el niño
vivi gore vivi sivi dira giki zova,la maestra no lleva la gata grande
ribi kita ribi bene rori giki zova,el músico no lleva el niño azul
vivi gore vivi sivi mivi nibe zova,la maestra no busca la médica grande
ribi zoli vivi vife dira nibe zova,el perro no busca la gata joven
ribi rori vivi toge dira mibe,el niño cuida la gata feliz
ribi kita ribi zoli giki,el músico lleva el perro
ribi tore ribi kote kita nibe,el jardinero busca el músico verde
vivi taki ribi sivi tore nibe,la niña busca el jardinero grande
vivi taki ribi vife zoli giki,la niña lleva el perro joven
ribi tore ribi toge rori giki,el jardinero lleva el niño feliz
vivi taki ribi vife tore liba zova,la niña no lee el jardinero joven
ribi rori ribi kita liba,el niño lee el músico
vivi dira ribi sivi zoli mibe zova,la gata no cuida el perro grande
vivi taki vivi vife dira nibe,la niña busca la gata joven
vivi dira vivi kote mivi giki,la gata lleva la médica verde
ribi zoli vivi vife gore giki,el perro lleva la maestra joven
vivi taki vivi toge mivi liba zova,la niña no lee la médica feliz
vivi gore ribi vife tore giki,la maestra lleva el jardinero joven
vivi taki ribi sivi tore mibe zova,la niña no cuida el jardinero grande
ribi kita ribi vife zoli liba zova,el músico no lee el perro joven
ribi kita vivi vife gore nole,el músico encuentra la maestra joven
ribi tore ribi sivi zoli mibe zova,el jardinero no cuida el perro grande
ribi tore vivi sivi taki liba,el jardinero lee la niña grande
ribi tore vivi gore nole,el jardinero encuentra la maestra
ribi kita ribi sivi zoli liba zova,el músico no lee el perro grande
ribi tore vivi kote mivi nole,el jardinero encuentra la médica verde
vivi dira ribi sivi kita nole zova,la gata no encuentra el músico grande
vivi gore ribi sivi kita giki zova,la maestra no lleva el músico grande
ribi rori vivi toge dira nole,el niño encuentra la gata feliz
vivi taki ribi toge kita nole zova,la niña no encuentra el músico feliz
ribi rori vivi sivi mivi giki zova,el niño no lleva la médica grande
ribi zoli vivi vife mivi liba,el perro lee la médica joven
vivi gore ribi vife zoli nole,la maestra encuentra el perro joven
ribi zoli ribi vife kita nole,el perro encuentra el músico joven
ribi kita ribi sivi tore giki,el músico lleva el jardinero grande
vivi dira ribi zoli mibe zova,la gata no cuida el perro
vivi dira ribi kita nibe zova,la gata no busca el músico
ribi kita ribi toge rori nole,el músico encuentra el niño feliz
ribi tore vivi kote gore mibe zova,el jardinero no cuida la maestra verde
ribi tore ribi vife zoli giki,el jardinero lleva el perro joven
vivi mivi ribi toge kita tole zova,la médica no mira el músico feliz
ribi zoli ribi kote tore nibe,el perro busca el jardinero verde
vivi gore vivi sivi dira tole zova,la maestra no mira la gata grande
ribi rori vivi toge taki nole,el niño encuentra la niña feliz
vivi mivi vivi kote dira nole zova,la médica no encuentra la gata verde
ribi kita vivi vife taki nibe,el músico busca la niña joven
ribi tore ribi kote zoli tole zova,el jardinero no mira el perro verde
vivi taki vivi dira tole,la niña mira la gata
vivi mivi vivi sivi dira giki zova,la médica no lleva la gata grande
ribi zoli vivi vife taki giki zova,el perro no lleva la niña joven
ribi tore ribi bene zoli mibe,el jardinero cuida el perro azul
vivi dira vivi taki nibe,la gata busca la niña
vivi dira ribi sivi zoli giki,la gata lleva el perro grande
ribi zoli vivi taki nole zova,el perro no encuentra la niña
ribi rori ribi zoli nibe zova,el niño no busca el perro
ribi kita ribi toge tore nole,el músico encuentra el jardinero feliz
vivi taki vivi toge dira mibe,la niña cuida la gata feliz
ribi tore vivi vife gore liba zova,el jardinero no lee la maestra joven
ribi kita vivi kote mivi tole zova,el músico no mira la médica verde
ribi kita ribi kote zoli nole,el músico encuentra el perro verde
vivi dira ribi bene tore mibe zova,la gata no cuida el jardinero azul
ribi tore ribi kote kita nole,el jardinero encuentra el músico verde
vivi gore ribi toge tore nibe,la maestra busca el jardinero feliz
vivi gore ribi bene kita mibe zova,la maestra no cuida el músico azul
vivi mivi ribi toge rori tole zova,la médica no mira el niño feliz
vivi dira ribi vife tore nole zova,la gata no encuentra el jardinero joven
ribi zoli vivi toge gore liba zova,el perro no lee la maestra feliz
vivi mivi ribi rori giki zova,la médica no lleva el niño
vivi taki ribi bene tore mibe,la niña cuida el jardinero azul
ribi rori ribi toge zoli nibe,el niño busca el perro feliz
vivi taki ribi vife rori tole zova,la niña no mira el niño joven
vivi taki ribi toge zoli liba,la niña lee el perro feliz
vivi mivi vivi dira nole zova,la médica no encuentra la gata
vivi taki vivi sivi mivi giki zova,la niña no lleva la médica grande
ribi kita ribi kote zoli liba zova,el músico no lee el perro verde
vivi dira ribi bene zoli nibe zova,la gata no busca el perro azul
ribi rori vivi kote taki giki zova,el niño no lleva la niña verde
ribi tore vivi gore nibe,el jardinero busca la maestra
vivi taki ribi bene kita giki,la niña lleva el músico azul
vivi taki ribi toge rori nibe zova,la niña no busca el niño feliz
vivi gore ribi zoli giki,la maestra lleva el perro
ribi tore ribi kote zoli mibe zova,el jardinero no cuida el perro verde
ribi zoli ribi vife rori tole zova,el perro no mira el niño joven
ribi kita ribi toge tore tole zova,el músico no mira el jardinero feliz
vivi gore vivi kote taki nibe zova,la maestra no busca la niña verde
vivi gore vivi dira nibe zova,la maestra no busca la gata
ribi rori vivi vife taki mibe zova,el niño no cuida la niña joven
ribi tore vivi sivi taki mibe,el jardinero cuida la niña grande
vivi dira ribi toge rori tole zova,la gata no mira el niño feliz
ribi rori vivi taki giki zova,el niño no lleva la niña
ribi rori ribi bene tore giki zova,el niño no lleva el jardinero azul
ribi zoli ribi vife tore tole,el perro mira el jardinero joven
vivi mivi vivi gore tole zova,la médica no mira la maestra
vivi mivi ribi vife zoli nibe zova,la médica no busca el perro joven
vivi dira ribi sivi kita giki zova,la gata no lleva el músico grande
vivi dira ribi vife rori liba,la gata lee el niño joven
ribi kita vivi gore liba,el músico lee la maestra
vivi dira ribi toge kita giki zova,la gata no lleva el músico feliz
ribi kita vivi kote gore giki zova,el músico no lleva la maestra verde
ribi rori vivi vife mivi tole,el niño mira la médica joven
ribi rori vivi toge gore giki,el niño lleva la maestra feliz
vivi mivi vivi sivi taki nole zova,la médica no encuentra la niña grande
vivi gore vivi toge mivi tole,la maestra mira la médica feliz
vivi dira vivi sivi mivi nibe,la gata busca la médica grande
vivi dira vivi vife mivi nibe zova,la gata no busca la médica joven
ribi tore ribi bene rori nole zova,el jardinero no encuentra el niño azul
vivi gore ribi bene zoli liba,la maestra lee el perro azul
vivi mivi vivi vife dira mibe zova,la médica no cuida la gata joven
vivi mivi ribi bene rori tole,la médica mira el niño azul
vivi gore vivi bene mivi liba,la maestra lee la médica azul
ribi tore ribi kote rori giki,el jardinero lleva el niño verde
vivi taki ribi vife kita nole zova,la niña no encuentra el músico joven
ribi kita vivi vife dira tole zova,el músico no mira la gata joven
vivi taki ribi kote tore mibe zova,la niña no cuida el jardinero verde
ribi rori vivi bene taki giki zova,el niño no lleva la niña azul
ribi rori vivi taki nole,el niño encuentra la niña
vivi mivi vivi dira nibe,la médica busca la gata
ribi zoli ribi bene kita nibe,el perro busca el músico azul
ribi tore ribi zoli nibe zova,el jardinero no busca el perro
vivi taki vivi toge dira nibe zova,la niña no busca la gata feliz
ribi rori vivi bene taki giki,el niño lleva la niña azul
vivi mivi ribi kita nole zova,la médica no encuentra el músico
ribi zoli vivi kote gore tole zova,el perro no mira la maestra verde
vivi gore ribi toge zoli tole zova,la maestra no mira el perro feliz
vivi mivi ribi kote zoli tole,la médica mira el perro verde
vivi gore vivi mivi nibe zova,la maestra no busca la médica
ribi kita vivi bene taki mibe zova,el músico no cuida la niña azul
ribi kita vivi dira mibe zova,el músico no cuida la gata
ribi rori ribi vife tore tole,el niño mira el jardinero joven
vivi mivi ribi sivi tore giki,la médica lleva el jardinero grande
ribi zoli vivi sivi gore nole,el perro encuentra la maestra grande
vivi taki vivi kote dira nole,la niña encuentra la gata verde
ribi zoli ribi rori nibe zova,el perro no busca el niño
ribi kita vivi kote dira nole zova,el músico no encuentra la gata verde
vivi dira ribi zoli nibe zova,la gata no busca el perro
vivi mivi ribi vife kita mibe,la médica cuida el músico joven
ribi rori vivi taki mibe,el niño cuida la niña
ribi rori vivi bene gore liba,el niño lee la maestra azul
vivi gore ribi kote rori liba,la maestra lee el niño verde
vivi taki ribi bene kita mibe,la niña cuida el músico azul
vivi dira ribi sivi tore nole zova,la gata no encuentra el jardinero grande
ribi tore vivi taki nibe,el jardinero busca la niña
ribi rori vivi toge gore liba,el niño lee la maestra feliz
ribi rori ribi sivi tore nole,el niño encuentra el jardinero grande
vivi gore ribi bene kita nibe,la maestra busca el músico azul
ribi kita vivi toge mivi mibe,el músico cuida la médica feliz
vivi taki ribi toge zoli tole zova,la niña no mira el perro feliz
ribi tore vivi sivi gore nibe,el jardinero busca la maestra grande
ribi kita ribi tore giki,el músico lleva el jardinero
vivi dira vivi toge mivi nibe,la gata busca la médica feliz
ribi tore vivi vife taki nibe,el jardinero busca la niña joven
vivi taki ribi toge zoli liba zova,la niña no lee el perro feliz
ribi kita ribi sivi rori liba,el músico lee el niño grande
ribi tore ribi sivi rori giki,el jardinero lleva el niño grande
ribi tore vivi sivi gore giki zova,el jardinero no lleva la maestra grande
ribi tore ribi bene kita giki zova,el jardinero no lleva el músico azul
vivi taki vivi kote gore mibe zova,la niña no cuida la maestra verde
ribi tore ribi kote rori tole,el jardinero mira el niño verde
vivi gore ribi rori giki zova,la maestra no lleva el niño
vivi dira ribi toge tore liba,la gata lee el jardinero feliz
ribi zoli vivi mivi nole,el perro encuentra la médica
ribi rori ribi kita nole zova,el niño no encuentra el músico
ribi tore vivi bene taki nole zova,el jardinero no encuentra la niña azul
ribi kita ribi vife tore nibe,el músico busca el jardinero joven
ribi zoli ribi bene rori giki,el perro lleva el niño azul
vivi taki vivi toge dira liba,la niña lee la gata feliz
ribi zoli ribi sivi tore tole zova,el perro no mira el jardinero grande
vivi taki vivi kote mivi nibe,la niña busca la médica verde
vivi mivi ribi rori nibe,la médica busca el niño
vivi mivi vivi toge dira giki zova,la médica no lleva la gata feliz
vivi mivi ribi sivi rori nole zova,la médica no encuentra el niño grande
vivi mivi ribi zoli nole,la médica encuentra el perro
vivi mivi vivi bene taki nole,la médica encuentra la niña azul
vivi gore ribi sivi zoli tole,la maestra mira el perro grande
vivi gore ribi toge zoli nibe zova,la maestra no busca el perro feliz
vivi gore ribi kote rori mibe,la maestra cuida el niño verde
ribi tore ribi vife rori liba,el jardinero lee el niño joven
ribi zoli ribi vife rori nibe,el perro busca el niño joven
ribi kita vivi bene mivi tole zova,el músico no mira la médica azul
vivi gore ribi rori liba,la maestra lee el niño
ribi zoli vivi mivi mibe zova,el perro no cuida la médica
vivi taki ribi bene kita giki zova,la niña no lleva el músico azul
vivi taki ribi bene zoli tole,la niña mira el perro azul
vivi dira vivi bene gore nole,la gata encuentra la maestra azul
ribi rori ribi sivi kita giki,el niño lleva el músico grande
ribi tore ribi rori nibe,el jardinero busca el niño
ribi zoli ribi kote kita mibe zova,el perro no cuida el músico verde
vivi taki ribi sivi zoli nole,la niña encuentra el perro grande
vivi gore ribi toge zoli nole zova,la maestra no encuentra el perro feliz
vivi gore ribi sivi kita nole,la maestra encuentra el músico grande
ribi rori vivi bene dira tole,el niño mira la gata azul
vivi taki ribi bene rori giki,la niña lleva el niño azul
ribi tore vivi gore nibe zova,el jardinero no busca la maestra
vivi mivi ribi kita tole,la médica mira el músico
ribi tore vivi toge dira nibe zova,el jardinero no busca la gata feliz
ribi zoli vivi dira tole zova,el perro no mira la gata
vivi taki ribi tore mibe,la niña cuida el jardinero
ribi kita vivi toge taki giki zova,el músico no lleva la niña feliz
ribi tore vivi toge dira tole,el jardinero mira la gata feliz
ribi tore ribi toge zoli giki,el jardinero lleva el perro feliz
ribi tore vivi gore tole zova,el jardinero no mira la maestra
vivi mivi ribi rori mibe zova,la médica no cuida el niño
vivi dira ribi vife tore nole,la gata encuentra el jardinero joven
ribi rori ribi bene tore giki,el niño lleva el jardinero azul
ribi kita vivi kote gore mibe zova,el músico no cuida la maestra verde
vivi gore ribi toge tore tole zova,la maestra no mira el jardinero feliz
vivi dira ribi rori nibe,la gata busca el niño
vivi dira ribi bene tore nibe,la gata busca el jardinero azul
ribi tore ribi bene kita nole zova,el jardinero no encuentra el músico azul
vivi taki ribi kote rori nibe,la niña busca el niño verde
ribi zoli ribi rori mibe,el perro cuida el niño
vivi taki ribi kote zoli nole,la niña encuentra el perro verde
ribi kita ribi toge zoli giki,el músico lleva el perro feliz
ribi kita vivi vife dira nole zova,el músico no encuentra la gata joven
vivi mivi ribi kote kita nibe zova,la médica no busca el músico verde
ribi kita ribi bene rori liba,el músico lee el niño azul
vivi taki vivi kote dira mibe zova,la niña no cuida la gata verde
vivi gore ribi kote zoli mibe zova,la maestra no cuida el perro verde
vivi gore ribi kote zoli tole zova,la maestra no mira el perro verde
vivi taki ribi rori liba zova,la niña no lee el niño
ribi rori vivi taki nole zova,el niño no encuentra la niña
ribi rori ribi vife zoli giki,el niño lleva el perro joven
